20230724	19:44:48	dd5d6c0a-8583-476b-a479-656f662c838c	GET	 undefined	 /css/style.css
20230724	19:44:49	d27ca728-5c40-4cd2-8a01-3685dfa3da74	GET	 undefined	 /
20230724	19:44:49	d3107684-e55e-41e2-8be3-1b6f21a7b1fe	GET	 undefined	 /css/style.css
20230724	19:44:49	9de4268c-017c-4e46-be88-8f3d9d974fae	GET	 undefined	 /
20230724	19:44:49	7a2782f7-7f75-4ded-9f50-51ec13748ffa	GET	 undefined	 /css/style.css
20230724	19:44:50	2882a248-be0e-4c52-9e8c-6e0c2ca52cfb	GET	 undefined	 /
20230724	19:44:50	d3bca7f6-5ef9-44fa-9a59-d2f5a3afee82	GET	 undefined	 /css/style.css
20230724	19:44:50	470283d1-06b3-4b30-9d6f-cb8ad4696396	GET	 undefined	 /
20230724	19:44:50	58a9db7a-9ed6-4bc4-8fca-fa261c46b8ee	GET	 undefined	 /css/style.css
20230724	19:44:51	92e331ea-0fb8-41f2-b53d-44bf58af5af4	GET	 undefined	 /
20230724	19:44:51	842ffd97-7838-4485-9ca5-318b38c4327b	GET	 undefined	 /css/style.css
20230724	19:44:51	9d2bfe0b-8ad3-4f7a-9b70-44f49f38e5bb	GET	 undefined	 /
20230724	19:44:51	31a6f641-1df2-4123-a385-91c2ec2fd612	GET	 undefined	 /css/style.css
20230724	19:44:52	7ed999df-5208-4132-a516-9c53fcbd06ba	GET	 undefined	 /
20230724	19:44:52	5ab9cf66-adb0-4485-b7fb-fbb7941ca33f	GET	 undefined	 /css/style.css
20230724	19:44:52	76d702df-e113-4410-a403-ee259904452c	GET	 undefined	 /
20230724	19:44:52	dff9c53d-6d5c-49c2-966b-b5d6887b0d75	GET	 undefined	 /css/style.css
20230724	19:44:53	e256a631-6e46-442b-8691-9c97b32c82f4	GET	 undefined	 /
20230724	19:44:53	6405c351-40d5-445b-8757-bd91958c1ca4	GET	 undefined	 /css/style.css
20230724	19:44:53	39044448-f723-4025-aea0-6ced5c4f31a0	GET	 undefined	 /
20230724	19:44:53	235b66dd-6d78-4581-90db-b8075362ffbf	GET	 undefined	 /css/style.css
